application_number,filing_date,application_invention_type,examiner_full_name,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,atty_docket_number,appl_status_desc,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,invention_title,small_entity_indicator,aia_first_to_file,publication_number,date_application_produced,date_application_published,main_cpc_label,cpc_labels,main_ipcr_label,ipcr_labels,foreign,continuation,decision,decision_as_of_2020,npe_litigated_count,main_ipcr_label_subclass,filing_year
11893577,2007-08-15,Utility,"HOANG, JOHNNY H",3747,701,114000,5051.0,INJ4A-J19,Patented Case,2014-04-30,ELECTRONIC,,US20080053393A1,2008-03-06,,,7669571,2010-03-02,CALIBRATED AIR INTAKE TRACT FOR INTERNAL COMBUSTION ENGINES,SMALL,false,US20080053393A1-20080306,2008-02-20,2008-03-06,,,F02M35104,F02M35104,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,F02M,2007
11893749,2007-08-17,Utility,"FREEDMAN, LAURA",3616,180,053800,6062.0,V03.001,Patented Case,2010-06-23,ELECTRONIC,,US20090044992A1,2009-02-19,,,7753148,2010-07-13,UNDERDECK PTO/GEARBOX/COMPRESSOR COMBINATION,SMALL,false,US20090044992A1-20090219,2009-02-04,2009-02-19,,,B60K1728,B60K1728,False,0,ACCEPTED,ACCEPTED,1,B60K,2007
11894135,2007-08-20,Utility,"GODDARD, LAURA B",1642,435,006000,8538.0,030258-057956-C2-RCE2,Patented Case,2012-01-11,ELECTRONIC,,US20080096212A1,2008-04-24,,,8105769,2012-01-31,METHOD TO DETERMINE RESPONSIVENESS OF CANCER TO EPIDERMAL GROWTH FACTOR RECEPTOR TARGETING TREATMENTS,UNDISCOUNTED,false,US20080096212A1-20080424,2008-04-09,2008-04-24,,,C12Q168,C12Q168,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,C12Q,2007
11894159,2007-08-20,Utility,"GODDARD, LAURA B",1642,435,006000,7116.0,030258-057957-C3-RCE,Patented Case,2011-06-01,ELECTRONIC,,US20080207615A1,2008-08-28,,,7964349,2011-06-21,METHOD TO DETERMINE RESPONSIVENESS OF CANCER TO EPIDERMAL GROWTH FACTOR RECEPTOR TARGETING TREATMENTS,UNDISCOUNTED,false,US20080207615A1-20080828,2008-08-14,2008-08-28,,,A61K315377,"A61K315377, C12Q168, A61K31517, C12N1512, C07K1447, A61P3500",False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,A61K,2007
11894160,2007-08-20,Utility,"GODDARD, LAURA B",1642,435,006100,7117.0,030258-057958-C4,Patented Case,2013-05-29,ELECTRONIC,,US20080234264A1,2008-09-25,,,8465916,2013-06-18,METHOD TO DETERMINE RESPONSIVENESS OF CANCER TO EPIDERMAL GROWTH FACTOR RECEPTOR TARGETING TREATMENTS,UNDISCOUNTED,false,US20080234264A1-20080925,2008-09-11,2008-09-25,,,A61K315377,"A61K315377, C12Q168, A61K31517, C12N1512, C07K1447, A61P3500",False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,A61K,2007
11894163,2007-08-20,Utility,"GELIN, JEAN ALLAND",2617,455,517000,7193.0,0128-1 CON5,Patented Case,2010-12-08,ELECTRONIC,,US20070287489A1,2007-12-13,,,7860523,2010-12-28,METHOD AND APPARATUS FOR INTERACTIVE AUDIENCE PARTICIPATION AT A LIVE ENTERTAINMENT EVENT,SMALL,false,US20070287489A1-20071213,2007-11-28,2007-12-13,,,H04Q720,H04Q720,False,1,CONT-ACCEPTED,CONT-ACCEPTED,2,H04Q,2007
11894189,2007-08-20,Utility,"GELIN, JEAN ALLAND",2617,455,517000,6994.0,0128-1 CON6,Patented Case,2017-04-28,ELECTRONIC,,US20070287378A1,2007-12-13,,,7424304,2008-09-09,METHOD AND APPARATUS FOR INTERACTIVE AUDIENCE PARTICIPATION AT A LIVE ENTERTAINMENT EVENT,SMALL,false,US20070287378A1-20071213,2007-11-28,2007-12-13,,,H04H700,H04H700,False,1,CONT-ACCEPTED,CONT-ACCEPTED,2,H04H,2007
11894253,2007-08-20,Utility,"HOWELL, DANIEL W",3726,408,11500R,6517.0,22367.0044 - K0018,Patented Case,2010-09-01,ELECTRONIC,,US20090053003A1,2009-02-26,,,7798750,2010-09-21,DRILL GUIDE WITH REMOVEABLE CLAMP RETAINER,SMALL,false,US20090053003A1-20090226,2009-02-11,2009-02-26,,,B23B4514,B23B4514,False,0,ACCEPTED,ACCEPTED,1,B23B,2007
11894327,2007-08-20,Utility,"KAMAL, SHAHID",3714,705,064000,8961.0,07451.0003-10000,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2018-07-09,ELECTRONIC,,US20080077531A1,2008-03-27,,,7734553,2010-06-08,SYSTEMS AND METHODS USING CRYPTOGRAPHY TO PROTECT SECURE COMPUTING ENVIRONMENTS,UNDISCOUNTED,false,US20080077531A1-20080327,2008-03-12,2008-03-27,,,G06F1214,"G06F1214, G06Q2000, H04L932",False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,G06F,2007
11894329,2007-08-20,Utility,"CHAI, LONGBIT",2431,726,027000,8428.0,07451.0001-33000,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2016-06-27,ELECTRONIC,,US20080034227A1,2008-02-07,,,8191158,2012-05-29,SYSTEMS AND METHODS FOR SECURE TRANSACTION MANAGEMENT AND ELECTRONIC RIGHTS PROTECTION,UNDISCOUNTED,false,US20080034227A1-20080207,2008-01-23,2008-02-07,,,G06F1214,G06F1214,False,1,CONT-ACCEPTED,CONT-ACCEPTED,5,G06F,2007
11894334,2007-08-20,Utility,"WEDDINGTON, KEVIN E",1629,514,557000,8429.0,235722000502,Patented Case,2011-09-14,ELECTRONIC,,US20070292580A1,2007-12-20,,,8030351,2011-10-04,TREATMENT OF ANIMAL CARCASSES,UNDISCOUNTED,false,US20070292580A1-20071220,2007-12-05,2007-12-20,,,A23L334,"A23L334, C07C40924",False,1,CONT-ACCEPTED,CONT-ACCEPTED,2,A23L,2007
11894480,2007-08-21,Utility,"CONLON, MARISA V",3643,43,044870,8017.0,T11382,Patented Case,2011-08-24,ELECTRONIC,,US20090049735A1,2009-02-26,,,8015745,2011-09-13,TRAPPED AIR STRIKE INDICATOR AND FLY,SMALL,false,US20090049735A1-20090226,2009-02-11,2009-02-26,,,A01K9300,"A01K9300, A01K8508",False,0,ACCEPTED,ACCEPTED,1,A01K,2007
11894502,2007-08-20,Utility,"CALLAHAN, PAUL E",2437,713,002000,8224.0,07451.0003-12000,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2017-09-25,ELECTRONIC,,US20080034229A1,2008-02-07,,,7581092,2009-08-25,SYSTEMS AND METHODS USING CRYPTOGRAPHY TO PROTECT SECURE COMPUTING ENVIRONMENTS,UNDISCOUNTED,false,US20080034229A1-20080207,2008-01-23,2008-02-07,,,G06F1214,G06F1214,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,G06F,2007
11894566,2007-08-21,Utility,"TRAN, LY T",2853,347,102000,9382.0,010758-9012-01,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2013-05-20,ELECTRONIC,,US20080049088A1,2008-02-28,,,7520602,2009-04-21,METHOD AND APPARATUS FOR INK JET PRINTING ON RIGID PANELS,UNDISCOUNTED,false,US20080049088A1-20080228,2008-02-14,2008-02-28,,,B41J201,B41J201,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,B41J,2007
11894604,2007-08-20,Utility,"EKPO, NNENNA NGOZI",2425,725,052000,8710.0,004031-0026-109,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2020-03-16,ELECTRONIC,,US20080184312A1,2008-07-31,,,8112776,2012-02-07,INTERACTIVE COMPUTER SYSTEM FOR PROVIDING TELEVISION SCHEDULE INFORMATION,UNDISCOUNTED,false,US20080184312A1-20080731,2008-07-16,2008-07-31,,,H04N5445,H04N5445,True,1,CONT-ACCEPTED,CONT-ACCEPTED,3,H04N,2007
11894699,2007-08-20,Utility,"LY, ANH",2162,707,003000,8665.0,004033-0093-103,Patented Case,2010-07-14,ELECTRONIC,,US20080133485A1,2008-06-05,,,7769775,2010-08-03,SEARCH ENGINE FOR VIDEO AND GRAPHICS WITH ACCESS AUTHORIZATION,UNDISCOUNTED,false,US20080133485A1-20080605,2008-05-22,2008-06-05,,,G06F1730,G06F1730,False,1,CONT-ACCEPTED,CONT-ACCEPTED,3,G06F,2007
11894716,2007-08-20,Utility,"WINAKUR, ERIC FRANK",3777,600,323000,8711.0,MASIMO.7CP1C20,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2019-10-21,ELECTRONIC,,US20080033266A1,2008-02-07,,,8019400,2011-09-13,SIGNAL PROCESSING APPARATUS,UNDISCOUNTED,false,US20080033266A1-20080207,2008-01-23,2008-02-07,,,A61B51455,A61B51455,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,A61B,2007
11894722,2007-08-20,Utility,"BERHANU, ETSUB D",3735,600,323000,8738.0,MASIMO.162CP1C2,Patented Case,2013-08-21,ELECTRONIC,,US20080039701A1,2008-02-14,,,8532727,2013-09-10,DUAL-MODE PULSE OXIMETER,UNDISCOUNTED,false,US20080039701A1-20080214,2008-01-30,2008-02-14,,,A61B502,A61B502,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,A61B,2007
11894797,2007-08-20,Utility,"JONES, HEATHER RAE",2481,375,240260,9204.0,003597-0240-103,Application Involved in Court Proceedings,2018-11-12,ELECTRONIC,,US20080184297A1,2008-07-31,,,8768147,2014-07-01,Systems and methods for interactive program guides with personal video recording features,UNDISCOUNTED,false,US20080184297A1-20080731,2008-07-16,2008-07-31,,,H04N5445,H04N5445,False,1,CONT-ACCEPTED,CONT-ACCEPTED,3,H04N,2007
11894808,2007-08-20,Utility,"RILEY, JEZIA",1637,435,091100,9183.0,0575/62239-BZC /JPW/BJA,Patented Case,2009-12-02,ELECTRONIC,,US20080199868A1,2008-08-21,,,7635578,2009-12-22,MASSIVE PARALLEL METHOD FOR DECODING DNA AND RNA,UNDISCOUNTED,false,US20080199868A1-20080821,2008-08-05,2008-08-21,,,C12Q168,"C12Q168, C07H2104",False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,C12Q,2007
11894835,2007-08-21,Utility,"MARC-COLEMAN, MARTHE Y",3661,701,208000,9057.0,BLAC-001/01US 301663-2001,Patented Case,2011-06-08,ELECTRONIC,,US20080077320A1,2008-03-27,,,7970534,2011-06-28,"MOBILE UNIT AND SYSTEM HAVING INTEGRATED MAPPING, COMMUNICATIONS AND TRACKING",UNDISCOUNTED,false,US20080077320A1-20080327,2008-03-12,2008-03-27,,,G01C2130,G01C2130,False,0,ACCEPTED,ACCEPTED,1,G01C,2007
11894991,2007-08-21,Utility,"CAO, CHUN",2115,713,320000,9781.0,TRAN-P470,Patented Case,2010-12-22,ELECTRONIC,,US20070294555A1,2007-12-20,,,7870404,2011-01-11,TRANSITIONING TO AND FROM A SLEEP STATE OF A PROCESSOR,UNDISCOUNTED,false,US20070294555A1-20071220,2007-12-05,2007-12-20,,,G06F132,G06F132,False,1,CONT-ACCEPTED,CONT-ACCEPTED,2,G06F,2007
11895242,2007-08-22,Utility,"JONES, MELVIN",3744,62,371000,9742.0,7869-C,Patented Case,2011-03-09,ELECTRONIC,,US20070289976A1,2007-12-20,,,7913511,2011-03-29,CARGO CONTAINER FOR TRANSPORTING TEMPERATURE SENSITIVE ITEMS,SMALL,false,US20070289976A1-20071220,2007-12-05,2007-12-20,,,F25D2300,F25D2300,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,F25D,2007
11895269,2007-08-23,Utility,"WILLIAMS, MAURICE L",3611,280,284000,1261.0,16-08,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2015-09-21,ELECTRONIC,,US20080073868A1,2008-03-27,,,8002301,2011-08-23,VEHICLE SUSPENSION SYSTEMS FOR SEPERATED ACCELERATION RESPONSES,SMALL,false,US20080073868A1-20080327,2008-03-12,2008-03-27,,,B62K2500,B62K2500,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,B62K,2007
11895277,2007-08-23,Utility,"FRANKLIN, JAMARA ALZAIDA",2876,235,454000,1264.0,H28177,Patented Case,2011-12-28,ELECTRONIC,,US20080128511A1,2008-06-05,,,8096472,2012-01-17,IMAGE SENSOR ASSEMBLY FOR OPTICAL READER,UNDISCOUNTED,false,US20080128511A1-20080605,2008-05-21,2008-06-05,,,G06K710,G06K710,False,1,CONT-ACCEPTED,CONT-ACCEPTED,3,G06K,2007
11895388,2007-08-24,Utility,"OKEKE, IZUNNA",2497,713,176000,2103.0,SCOT0014-4,Patented Case,2015-07-22,ELECTRONIC,,US20080016365A1,2008-01-17,,,9104842,2015-08-11,Data protection method and device,UNDISCOUNTED,false,US20080016365A1-20080117,2008-01-02,2008-01-17,,,H04L900,H04L900,False,1,CONT-ACCEPTED,CONT-ACCEPTED,20,H04L,2007
11895460,2007-08-24,Utility,"GAUTHIER, GERALD",2614,379,088140,1588.0,5106-11CON2,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2018-06-25,ELECTRONIC,,US20080226054A1,2008-09-18,,,7724879,2010-05-25,EFFICIENT COMMUNICATION THROUGH NETWORKS,SMALL,false,US20080226054A1-20080918,2008-09-04,2008-09-18,,,H04M342,H04M342,True,1,CONT-ACCEPTED,CONT-ACCEPTED,11,H04M,2007
11895558,2007-08-24,Utility,"NICHOLS II, ROBERT K",3754,222,209000,1802.0,CFP-020292 (20070614.ORI),Patented Case,2011-01-19,ELECTRONIC,,US20090050652A1,2009-02-26,,,7882986,2011-02-08,LIQUID DISPENSER,SMALL,false,US20090050652A1-20090226,2009-02-11,2009-02-26,,,B65D3700,"B65D3700, B65D8854",False,0,ACCEPTED,ACCEPTED,1,B65D,2007
11895578,2007-08-27,Utility,"DELISLE, ROBERTA S",3677,411,102000,2124.0,ADA101.,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2019-05-27,ELECTRONIC,,US20090060677A1,2009-03-05,,,7927049,2011-04-19,WHEEL LUG NUT MANAGEMENT DEVICE,SMALL,false,US20090060677A1-20090305,2009-02-19,2009-03-05,,,F16B3714,F16B3714,False,0,ACCEPTED,ACCEPTED,1,F16B,2007
11895656,2007-08-27,Utility,"BITAR, NANCY",2624,382,115000,2265.0,,Patented Case,2009-12-09,ELECTRONIC,,US20090039155A1,2009-02-12,,,7639844,2009-12-29,AIRPORT VEHICULAR GATE ENTRY ACCESS SYSTEM,SMALL,false,US20090039155A1-20090212,2009-01-28,2009-02-12,,,G06K500,G06K500,False,1,CONT-ACCEPTED,CONT-ACCEPTED,2,G06K,2007
11896193,2007-08-30,Utility,"EDWARDS, BRETT J",3781,220,004060,6492.0,87820.21540,Patented Case,2010-12-01,ELECTRONIC,,US20080067179A1,2008-03-20,,,7854338,2010-12-21,WATER TANK AND METHOD FOR MANUFACTURING A WATER TANK,UNDISCOUNTED,false,US20080067179A1-20080320,2008-03-05,2008-03-20,,,B65D8802,"B65D8802, B29C4500, B65D632",True,0,ACCEPTED,ACCEPTED,1,B65D,2007
11896216,2007-08-30,Utility,"DUBASKY, GIGI L",2421,348,525000,4194.0,SUND-958,Patented Case,2012-05-23,ELECTRONIC,,US20080252783A1,2008-10-16,,,8199254,2012-06-12,DEVICE FOR SEPARATING SYNCHRONOUS SIGNAL AND METHOD THEREOF,UNDISCOUNTED,false,US20080252783A1-20081016,2008-10-02,2008-10-16,,,H04N508,H04N508,True,0,ACCEPTED,ACCEPTED,1,H04N,2007
11896389,2007-08-31,Utility,"BRANDT, CHRISTOPHER M",2645,455,410000,5041.0,20056.27.1A.2,Patented Case,2012-11-28,ELECTRONIC,,US20080045214A1,2008-02-21,,,8335487,2012-12-18,METHOD FOR AUTHENTICATING USER TERMINAL IN IP MULTIMEDIA SUB-SYSTEM,UNDISCOUNTED,false,US20080045214A1-20080221,2008-02-06,2008-02-21,,,H04Q720,H04Q720,True,1,CONT-ACCEPTED,CONT-ACCEPTED,3,H04Q,2007
11896428,2007-08-31,Utility,"BYTHROW, PETER M",3662,342,176000,5576.0,0757-0329PUS1,Patented Case,2010-07-14,ELECTRONIC,,US20090058718A1,2009-03-05,,,7768447,2010-08-03,RADAR APPARATUS AND THE LIKE,UNDISCOUNTED,false,US20090058718A1-20090305,2009-02-18,2009-03-05,,,G01S1300,G01S1300,False,0,ACCEPTED,ACCEPTED,2,G01S,2007
11897048,2007-08-28,Utility,"ESTRADA, ANGEL R",2835,174,483000,3801.0,17856US02,Patented Case,2011-11-02,ELECTRONIC,,US20080053697A1,2008-03-06,,,8063317,2011-11-22,RECESSED POKE-THROUGH FITTING,UNDISCOUNTED,false,US20080053697A1-20080306,2008-02-20,2008-03-06,,,H02G308,H02G308,False,0,ACCEPTED,ACCEPTED,3,H02G,2007
11897791,2007-08-31,Utility,"TABATABAI, ABOLFAZL",2624,382,100000,6608.0,SCOT0010-18,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2019-09-09,ELECTRONIC,,US20080022113A1,2008-01-24,,,7991188,2011-08-02,"OPTIMIZATION METHODS FOR THE INSERTION, PROTECTION AND DETECTION OF DIGITAL OF DIGITAL WATERMARKS IN DIGITAL DATA",UNDISCOUNTED,false,US20080022113A1-20080124,2008-01-09,2008-01-24,,,H04L900,H04L900,False,1,CONT-ACCEPTED,CONT-ACCEPTED,4,H04L,2007
11898145,2007-09-10,Utility,"PATEL, NITIN C",2116,713,324000,1079.0,056937-0396,Patented Case,2011-03-30,ELECTRONIC,,US20080065920A1,2008-03-13,,,7930575,2011-04-19,A MICROCONTROLLER FOR CONTROLLING POWER SHUTDOWN PROCESS,UNDISCOUNTED,false,US20080065920A1-20080313,2008-02-28,2008-03-13,,,G06F132,G06F132,True,0,ACCEPTED,ACCEPTED,1,G06F,2007
11898231,2007-09-11,Utility,"YANG, ANDREW",3775,606,079000,1792.0,73928,Patented Case,2012-08-29,ELECTRONIC,,US20080077148A1,2008-03-27,,,8267937,2012-09-18,METHOD FOR DETERMINING A TOOTH PERIOD LENGTH OF A BONE MILLING CUTTER,SMALL,false,US20080077148A1-20080327,2008-03-13,2008-03-27,,,B23P1534,"B23P1534, A61B1716",True,0,ACCEPTED,ACCEPTED,1,B23P,2007
11898368,2007-09-11,Utility,"STOWE, SCOTT C",2826,257,079000,2312.0,8736.159.20,Patented Case,2010-07-14,ELECTRONIC,,US20080023691A1,2008-01-31,,,7768025,2010-08-03,LIGHT EMITTING DIODE HAVING VERTICAL TOPOLOGY AND METHOD OF MAKING THE SAME,UNDISCOUNTED,false,US20080023691A1-20080131,2008-01-16,2008-01-31,,,H01L3300,H01L3300,True,1,CONT-ACCEPTED,CONT-ACCEPTED,1,H01L,2007
11898402,2007-09-12,Utility,"NGUYEN, THINH T",2818,257,014000,2175.0,925-382,Patented Case,2010-06-16,ELECTRONIC,,US20080029758A1,2008-02-07,,,7750337,2010-07-06,NITRIDE SEMICONDUCTOR DEVICE,UNDISCOUNTED,false,US20080029758A1-20080207,2008-01-23,2008-02-07,,,H01L2915,H01L2915,True,1,CONT-ACCEPTED,CONT-ACCEPTED,1,H01L,2007
11898461,2007-09-12,Utility,"WATKO, JULIE ANNE",2627,720,718000,2360.0,2007_1299,Patented Case,2008-05-28,ELECTRONIC,,US20080016522A1,2008-01-17,,,7389520,2008-06-17,OPTICAL DATA RECORDING DISC WITH PROTRUSION BETWEEN CLAMPING AREA AND CENTER HOLE,UNDISCOUNTED,false,US20080016522A1-20080117,2008-01-02,2008-01-17,,,G11B724,G11B724,True,1,CONT-ACCEPTED,CONT-ACCEPTED,1,G11B,2007
